Image ID,Label,correct_obj+context,context,correct_obj
303818,bus,A bus traveling down a curvy road behind a black car.,A  traveling down a curvy road behind a black car.,bus
303818,car,A bus traveling down a curvy road behind a black car.,A bus traveling down a curvy road behind a black .,car
303818,person,A group of people cross the curved street.,A group of  cross the curved street.,people
463730,car,Two buses parked in a parking lot next to cars.,Two buses parked in a parking lot next to .,cars
463730,bus,Two buses parked in a parking lot next to cars.,Two  parked in a parking lot next to cars.,buses
463730,person,A couple of people are crossing a busy street,A couple of  are crossing a busy street,people
460347,car,A bus and other cars driving down a multi-laned street .,A bus and other  driving down a multi-laned street .,cars
460347,bus,A bus traveling on a freeway next to other traffic.,A  traveling on a freeway next to other traffic.,bus
153299,giraffe,two giraffes are standing together outside a barn,two  are standing together outside a barn,giraffes
308394,umbrella,A woman with an umbrella on a commuter train takes a snooze,A woman with an  on a commuter train takes a snooze,umbrella
308394,bench,A man sitting on a bench with a shopping bag next to him on a train.,A man sitting on a  with a shopping bag next to him on a train.,bench
456496,bird,A man sitting on cement by some birds,A man sitting on cement by some ,birds
41888,bird,Three birds walking around a dry grass field.,Three  walking around a dry grass field.,birds
184321,train,A train traveling down tracks next to lights.,A  traveling down tracks next to lights.,train
565778,train,A train going back to its coarse filled with people.,A  going back to its coarse filled with people.,train
565778,person,A train going back to its coarse filled with people.,A train going back to its coarse filled with .,people
297343,stop sign,A stop sign has been placed upside-down in the grass beside a building. ,A  has been placed upside-down in the grass beside a building. ,stop sign
336587,stop sign,a stop sign sittin on a pole that is somewhat broken ,a  sittin on a pole that is somewhat broken ,stop sign
122745,stop sign,A stop sign is lit up in the dark of night.,A  is lit up in the dark of night.,stop sign
219578,dog,A dog and cat lying  together on an orange couch. ,A  and cat lying  together on an orange couch. ,dog
219578,cat,A dog and cat lying  together on an orange couch. ,A dog and  lying  together on an orange couch. ,cat
219578,couch,A dog and cat lying  together on an orange couch. ,A dog and cat lying  together on an orange . ,couch
555705,cat,Two cats sitting on top of a pair of shoes.,Two  sitting on top of a pair of shoes.,cats
443303,cat,A cat laying on clothes that are in a suitcase. ,A  laying on clothes that are in a suitcase. ,cat
443303,suitcase,A cat laying on clothes that are in a suitcase. ,A cat laying on clothes that are in a . ,suitcase
500663,cow,There are two cows in this grassy field.,There are two  in this grassy field.,cows
418281,cow,two cows outside one laying down and the other standing near a building ,two  outside one laying down and the other standing near a building ,cows
25560,tv,A cat climbing on top of a shelf with a tv,A cat climbing on top of a shelf with a ,tv
25560,cat,An orange and white cat standing in front of a flat screen TV,An orange and white  standing in front of a flat screen TV,cat
403817,cat,A cat sitting beside a laptop on a desk.,A  sitting beside a laptop on a desk.,cat
403817,laptop,A cat sitting beside a laptop on a desk.,A cat sitting beside a  on a desk.,laptop
329323,person,A group of people who are standing together.,A group of  who are standing together.,people
239274,boat,People are getting off a boat on a rocky island.,People are getting off a  on a rocky island.,boat
239274,person,A yacht with people is near a pier on clear water.,A yacht with  is near a pier on clear water.,people
286994,elephant,some elephants and one is by some water,some  and one is by some water,elephants
511321,boat,there are two large boats that are in the water ,there are two large  that are in the water ,boats
314294,elephant,An elephant standing under the shade of a tree.,An  standing under the shade of a tree.,elephant
233771,person,"Color corrected photograph of a person carrying a red, white and blue umbrella.","Color corrected photograph of a  carrying a red, white and blue umbrella.",person
233771,umbrella,A black and white image with a colored british flag umbrella,A black and white image with a colored british flag ,umbrella
475779,elephant,There is an elephant standing near a tree.,There is an  standing near a tree.,elephant
301867,umbrella,Three teenage girls hover under an umbrella while they talk and laugh.,Three teenage girls hover under an  while they talk and laugh.,umbrella
301867,person,three people standing near one another with an umbrella,three  standing near one another with an umbrella,people
185250,dog,A woman standing next to a  brown and white dog.,A woman standing next to a  brown and white .,dog
185250,frisbee,A man standing in a grass field with a dog in front of him and frisbee type toys thrown in the air.,A man standing in a grass field with a dog in front of him and  type toys thrown in the air.,frisbee
572517,bird,a polar bear following a big winged bird,a polar bear following a big winged ,bird
572517,bear,a polar bear following a big winged bird,a polar  following a big winged bird,bear
270244,zebra,A zebra all by itself in the green forest.,A  all by itself in the green forest.,zebra
516316,zebra,An antilope is eating grass in between two zebra.,An antilope is eating grass in between two .,zebra
125211,zebra,A zebra standing on top of a grass covered field.,A  standing on top of a grass covered field.,zebra
562121,zebra,Two zebras fighting in a cloud of dust,Two  fighting in a cloud of dust,zebras
360661,horse,A couple of jockey's riding the horses through the beach.,A couple of jockey's riding the  through the beach.,horses
360661,person,three people riding horses on a beach ,three  riding horses on a beach ,people
16228,horse,There is a white horse pulling a trolley behind it.,There is a white  pulling a trolley behind it.,horse
382088,horse,A big and white horse in a dirt cage. ,A big and white  in a dirt cage. ,horse
266409,person,A person riding skis on top of a snow covered slope.,A  riding skis on top of a snow covered slope.,person
266409,skis,A person riding skis on top of a snow covered slope.,A person riding  on top of a snow covered slope.,skis
80671,skis,A person is trying to ski down a snowy slope.,A person is trying to  down a snowy slope.,ski
80671,person,A person is trying to ski down a snowy slope.,A  is trying to ski down a snowy slope.,person
577539,bowl,"A bowl of banana's, sprinkels, chocolate chips, and marshmellows.","A  of banana's, sprinkels, chocolate chips, and marshmellows.",bowl
577539,banana,"A bowl of banana's, sprinkels, chocolate chips, and marshmellows.","A bowl of 's, sprinkels, chocolate chips, and marshmellows.",banana
104612,broccoli,A plate is filled with broccoli and noodles.,A plate is filled with  and noodles.,broccoli
476258,person,A person in a helmet is riding a skateboard.,A  in a helmet is riding a skateboard.,person
476258,skateboard,A person in a helmet is riding a skateboard.,A person in a helmet is riding a .,skateboard
448365,person,A person on a skateboard on a street.,A  on a skateboard on a street.,person
448365,skateboard,"Youngster on a skateboard, trying simple tip up stunt.","Youngster on a , trying simple tip up stunt.",skateboard
35197,person,A person on a skateboard rides down a ramp.,A  on a skateboard rides down a ramp.,person
35197,skateboard,A person on a skateboard rides down a ramp.,A person on a  rides down a ramp.,skateboard
349860,skateboard,a young man doing a jump with his skateboard in a skate park,a young man doing a jump with his  in a skate park,skateboard
180135,skateboard,A man holding a microphone in one hand while he holds a skateboard in the other.,A man holding a microphone in one hand while he holds a  in the other.,skateboard
486438,person,A plate of donuts with a person in the background.,A plate of donuts with a  in the background.,person
486438,donut,A plate of donuts with a person in the background.,A plate of  with a person in the background.,donuts
400573,donut,A man wearing glasses eating a donut. ,A man wearing glasses eating a . ,donut
109798,donut,three different donuts one is pink one is brown and one has white sprinkles,three different  one is pink one is brown and one has white sprinkles,donuts
370677,person,three people standing in front of trays of doughnuts and bagels,three  standing in front of trays of doughnuts and bagels,people
370677,donut,Three people in work uniforms and visors standing together in front of various types of donuts.,Three people in work uniforms and visors standing together in front of various types of .,donuts
238866,donut,A rack topped with glazed donuts sitting side by side.,A rack topped with glazed  sitting side by side.,donuts
369370,sandwich,A sandwich on a plate served with garnish.,A  on a plate served with garnish.,sandwich
502737,person,A person holding up a chocolate doughnut with a face drawn on it.,A  holding up a chocolate doughnut with a face drawn on it.,person
515445,person,A group of people walking on top of a beach.,A group of  walking on top of a beach.,people
515445,surfboard,The people have surfboards and are on the beach.,The people have  and are on the beach.,surfboards
173383,cake,A two layer cake sitting on top of a table.,A two layer  sitting on top of a table.,cake
180560,person,a person holding a small cake with candles,a  holding a small cake with candles,person
180560,cake,Two women in a room with one of them holding a cake.,Two women in a room with one of them holding a .,cake
39956,bed,A messy room with door and bed and chair.,A messy room with door and  and chair.,bed
39956,chair,A messy room with door and bed and chair.,A messy room with door and bed and .,chair
321214,cake,A baby in plaid shirt eating a frosted cake.,A baby in plaid shirt eating a frosted .,cake
321214,chair,A toddler eats cake with his hands in his high chair.,A toddler eats cake with his hands in his high .,chair
66523,bed,A bed topped with three white pillows covered in a canopy.,A  topped with three white pillows covered in a canopy.,bed
355257,bed,A woman laying in a hospital bed hooded up to machines.,A woman laying in a hospital  hooded up to machines.,bed
142092,pizza,A pizza with vegetables and cheese resting on a board.,A  with vegetables and cheese resting on a board.,pizza
63154,surfboard,A man laying flat on a surfboard paddling through the water,A man laying flat on a  paddling through the water,surfboard
63154,person,a person lying on a surfboard in the ocean.,a  lying on a surfboard in the ocean.,person
199551,bed,A picture of a young boy laying on top of a bed.,A picture of a young boy laying on top of a .,bed
239347,bed,A photo of a man and his wife on a bed,A photo of a man and his wife on a ,bed
514508,tv,A man in bowler hat and lab coat by people in a tv frame.,A man in bowler hat and lab coat by people in a  frame.,tv
514508,person,A man in bowler hat and lab coat by people in a tv frame.,A man in bowler hat and lab coat by  in a tv frame.,people
473237,pizza,A young girl eating a slice of pizza.,A young girl eating a slice of .,pizza
228144,chair,"A chair sitting in the middle of the room, in a black and white photo.","A  sitting in the middle of the room, in a black and white photo.",chair
206027,pizza,A slice of pizza that is on top of a napkin.,A slice of  that is on top of a napkin.,pizza
78915,person,A picture of a person playing in a tennis game.,A picture of a  playing in a tennis game.,person
551215,tennis racket,a female holding a tennis racket and lunging for a tennis ball,a female holding a  and lunging for a tennis ball,tennis racket
544519,toothbrush,An Asian child brushes their teeth with a blue toothbrush.,An Asian child brushes their teeth with a blue .,toothbrush
96493,couch,A boy draped in a blanket holds a remote control on a couch,A boy draped in a blanket holds a remote control on a ,couch
96493,remote,A boy draped in a blanket holds a remote control on a couch,A boy draped in a blanket holds a  control on a couch,remote
23899,person,Some people chilling on the couch playing with a Nintendo Wii,Some  chilling on the couch playing with a Nintendo Wii,people
23899,remote,A group of men playing a game with remote controllers.,A group of men playing a game with  controllers.,remote
23899,couch,Some people chilling on the couch playing with a Nintendo Wii,Some people chilling on the  playing with a Nintendo Wii,couch
340175,chair,The large room has a wooden table with chairs and a couch.,The large room has a wooden table with  and a couch.,chairs
340175,couch,The large room has a wooden table with chairs and a couch.,The large room has a wooden table with chairs and a .,couch
340175,book, a living room with a big table next to a book shelf , a living room with a big table next to a  shelf ,book
578500,chair,The room has red walls with a blue chair,The room has red walls with a blue ,chair
578500,couch,a living room that has some couches and tables in it,a living room that has some  and tables in it,couches
366141,cat,a cat laying on top of a chair in the living room ,a  laying on top of a chair in the living room ,cat
366141,couch,a living room with a couch and large television,a living room with a  and large television,couch
366141,chair,a cat laying on top of a chair in the living room ,a cat laying on top of a  in the living room ,chair
559842,person,people enjoying a game of kick ball with many younger ones involved, enjoying a game of kick ball with many younger ones involved,people
434230,vase,A vendor has lots of different vases for sale.,A vendor has lots of different  for sale.,vases
428454,snowboard,A man on a snowboard para sailing in the snow.,A man on a  para sailing in the snow.,snowboard
428454,kite,A man is on a snow board with a kite.,A man is on a snow board with a .,kite
399462,kite,A girl with a kite running in the grass.,A girl with a  running in the grass.,kite
168330,clock,An old clock is illuminated at night on a street corner.,An old  is illuminated at night on a street corner.,clock
217285,baseball bat,A baseball player holding a baseball bat during a game.,A baseball player holding a  during a game.,baseball bat
236412,pizza,A pizza casserole  with two kinds of crackers on the side.,A  casserole  with two kinds of crackers on the side.,pizza
524456,laptop,A man sitting at a table using a laptop computer.,A man sitting at a table using a  computer.,laptop
524456,mouse,Two people are at a computer desk with a mouse.,Two people are at a computer desk with a .,mouse
524456,person,Two people are at a computer desk with a mouse.,Two  are at a computer desk with a mouse.,people
153343,teddy bear,two teddy bears that are large sitting in a small garden,two  that are large sitting in a small garden,teddy bears
95786,vase,there are three vases made of clay on a table,there are three  made of clay on a table,vases
326541,cell phone,A couple of people holding up cell phones side by side.,A couple of people holding up  side by side.,cell phones
326541,person,A couple of people holding up cell phones side by side.,A couple of  holding up cell phones side by side.,people
213086,oven,A man holding an oven door open while he looks in it. ,A man holding an  door open while he looks in it. ,oven
231339,refrigerator,A little girl is kneeling in front of an open refrigerator. ,A little girl is kneeling in front of an open . ,refrigerator
508730,toilet,Two naked babies on training toilets in a bathroom,Two naked babies on training  in a bathroom,toilets
550426,vase,A vase filled with red and white flowers on top of a table.,A  filled with red and white flowers on top of a table.,vase
368294,scissors,A woman sitting with a washcloth on her head and scissors in her hands. ,A woman sitting with a washcloth on her head and  in her hands. ,scissors
171190,wine glass,A ground of people sitting around a table holding wine glasses in their hands.,A ground of people sitting around a table holding  in their hands.,wine glasses
171190,person,a large group of people are gathered around the table,a large group of  are gathered around the table,people
171190,bottle,People sit around a table that is covered in liquor bottles.,People sit around a table that is covered in liquor .,bottles
301135,bench,Many people are sitting on two benches next to a light pole.,Many people are sitting on two  next to a light pole.,benches
301135,person,Many people are sitting on two benches next to a light pole.,Many  are sitting on two benches next to a light pole.,people
580294,person,A person frying some kind of food on a stove.,A  frying some kind of food on a stove.,person
494869,dog,A woman standing at a kitchen counter with a child and a dog is behind her.,A woman standing at a kitchen counter with a child and a  is behind her.,dog
33638,oven,A man preparing food on a large old oven.,A man preparing food on a large old .,oven
329219,dog,A man standing next to a dog on the ground.,A man standing next to a  on the ground.,dog
34873,chair,A kitchen with a counter and a table with chairs.,A kitchen with a counter and a table with .,chairs
34873,sink,a black counter a sink and a table and two chairs,a black counter a  and a table and two chairs,sink
186980,chair,A wooden table with two chairs next to a sink.,A wooden table with two  next to a sink.,chairs
186980,dining table,A very pretty kitchen with a small wooden dining table.,A very pretty kitchen with a small wooden .,dining table
186980,sink,A wooden table with two chairs next to a sink.,A wooden table with two chairs next to a .,sink
356387,bicycle,A stone street with bicycles and motor bikes parked on the side and people standing on the sidewalks in front of buildings.,A stone street with  and motor bikes parked on the side and people standing on the sidewalks in front of buildings.,bicycles
356387,motorcycle,A row of parked motorcycles sitting in front of a tall building.,A row of parked  sitting in front of a tall building.,motorcycles
356387,person,A stone street with bicycles and motor bikes parked on the side and people standing on the sidewalks in front of buildings.,A stone street with bicycles and motor bikes parked on the side and  standing on the sidewalks in front of buildings.,people
367680,horse,A horse drawn carriage among several other motor vehicles on a road.,A  drawn carriage among several other motor vehicles on a road.,horse
367680,car,a few cars that are parked out on a road,a few  that are parked out on a road,cars
367680,truck,"Cars, truck and carriages are traveling on the road","Cars,  and carriages are traveling on the road",truck
263796,toilet,A red toilet in a very small bathroom.,A red  in a very small bathroom.,toilet
117425,spoon,A young boy with a spoon looking at a birthday cupcake.,A young boy with a  looking at a birthday cupcake.,spoon
365387,bed,"A room with a sink, bed and toilet in it","A room with a sink,  and toilet in it",bed
365387,toilet,A toilet in a bathroom next to a sink.,A  in a bathroom next to a sink.,toilet
365387,sink,A toilet in a bathroom next to a sink.,A toilet in a bathroom next to a .,sink
487583,toilet,A white toilet and cup in a room.,A white  and cup in a room.,toilet
487583,cup,A white toilet and cup in a room.,A white toilet and  in a room.,cup
504711,fork,A fork rests on a plate next to a piece of cake.,A  rests on a plate next to a piece of cake.,fork
504711,cake,A fork rests on a plate next to a piece of cake.,A fork rests on a plate next to a piece of .,cake
363840,laptop,A desk with two laptops and a monitor.,A desk with two  and a monitor.,laptops
363840,mouse,two laptops a mouse cords wires and a monitor ,two laptops a  cords wires and a monitor ,mouse
363840,keyboard,"Two laptops,computer,keyboard and other electrical gadgets are on the table.","Two laptops,computer, and other electrical gadgets are on the table.",keyboard
214720,person,a person that is sitting down with a plate of food,a  that is sitting down with a plate of food,person
214720,cake,A man at home posing with a cake,A man at home posing with a ,cake
379453,airplane,The bottom view of an airplane flying in the air.,The bottom view of an  flying in the air.,airplane
311295,zebra,A group of zebras in a field by some trees.,A group of  in a field by some trees.,zebras
29393,dog,A large brown dog standing on the side of a white wood fence.,A large brown  standing on the side of a white wood fence.,dog
29393,orange,A dog standing on a bench with an orange tree in back.,A dog standing on a bench with an  tree in back.,orange
278848,bus,A group of people standing outside of a bus.,A group of people standing outside of a .,bus
278848,person,A group of people standing outside of a bus.,A group of  standing outside of a bus.,people
278848,umbrella,a black and white picture of people walking in the rain under an umbrella,a black and white picture of people walking in the rain under an ,umbrella
166391,car,cars are stopped at a traffic light on a highway, are stopped at a traffic light on a highway,cars
166391,traffic light,A large and wide street covered in lots of traffic lights.,A large and wide street covered in lots of .,traffic lights
48153,bench,A foot wearing a pointy pink flat shoe rested upon a bench.,A foot wearing a pointy pink flat shoe rested upon a .,bench
459153,person,a person operating a laptop on a bench,a  operating a laptop on a bench,person
459153,bench,A young male sitting on a park bench typing on a laptop. ,A young male sitting on a park  typing on a laptop. ,bench
459153,laptop,A young male sitting on a park bench typing on a laptop. ,A young male sitting on a park bench typing on a . ,laptop
295713,bench,A statue is sitting on a bench and a woman sits on a cement block.,A statue is sitting on a  and a woman sits on a cement block.,bench
223130,giraffe,A giraffe standing under a leaf filled tree.,A  standing under a leaf filled tree.,giraffe
273132,bench,An elderly woman sitting on the bench resting.  ,An elderly woman sitting on the  resting.  ,bench
198960,sheep,A group of sheep standing next to each other on a field.,A group of  standing next to each other on a field.,sheep
344059,giraffe,Two tall giraffes standing next to each other by trees.,Two tall  standing next to each other by trees.,giraffes
410428,sheep,A herd of sheep are grazing in a green field.,A herd of  are grazing in a green field.,sheep
87875,fire hydrant,A fire hydrant that is sitting in the grass.,A  that is sitting in the grass.,fire hydrant
450758,giraffe,A herd of giraffe running across a field.,A herd of  running across a field.,giraffe
460160,bird,a white bird some sand water rocks and grass,a white  some sand water rocks and grass,bird
458109,train,A train parked next to some train tracks.,A  parked next to some  tracks.,train
30675,train,The train engine number 6309 is operated by BNSF. ,The  engine number 6309 is operated by BNSF. ,train
566524,train,A couple of people that are standing near a train.,A couple of people that are standing near a .,train
566524,person,A couple of people that are standing near a train.,A couple of  that are standing near a train.,people
338428,truck,An older pickup truck with decorative murals painted on.,An older pickup  with decorative murals painted on.,truck
545826,cat,A black and white cat that is standing on all fours and has an elephant hat on it's head.,A black and white  that is standing on all fours and has an elephant hat on it's head.,cat
166277,cat,A cat drinking out of a glass on top of a table.,A  drinking out of a glass on top of a table.,cat
269314,cat,A cat sitting on top of a banana tree.,A  sitting on top of a banana tree.,cat
269314,banana,A cat sitting on top of a banana tree.,A cat sitting on top of a  tree.,banana
476415,tie,A man wearing a white shirt and tie standing in  a room.,A man wearing a white shirt and  standing in  a room.,tie
476415,person,A person stands and shows his tie off.,A  stands and shows his tie off.,person
360137,umbrella,A person leaning up against a metal rail while holding a rainbow colored umbrella.,A person leaning up against a metal rail while holding a rainbow colored .,umbrella
360137,person,A person leaning up against a metal rail while holding a rainbow colored umbrella.,A  leaning up against a metal rail while holding a rainbow colored umbrella.,person
122046,umbrella,A woman is sitting in a chair with an umbrella.,A woman is sitting in a chair with an .,umbrella
122046,chair,A woman is sitting in a chair with an umbrella.,A woman is sitting in a  with an umbrella.,chair
352684,tie,A man in shirt and tie standing in lobby next to other people.,A man in shirt and  standing in lobby next to other people.,tie
352684,person,A group of people gathered in the lobby of  a building.,A group of  gathered in the lobby of  a building.,people
512836,dog,A woman with a red umbrella is walking two dogs in the snow.,A woman with a red umbrella is walking two  in the snow.,dogs
512836,person,"A person with a white umbrella, with two dogs.","A  with a white umbrella, with two dogs.",person
512836,umbrella,A woman with a red umbrella is walking two dogs in the snow.,A woman with a red  is walking two dogs in the snow.,umbrella
8021,person,a large screen showing a person wearing a suit,a large screen showing a  wearing a suit,person
107226,dog,Two men being drug on buggies by dogs.,Two men being drug on buggies by .,dogs
107226,bicycle,Men race bicycles on grass pulled by sleigh dogs.,Men race  on grass pulled by sleigh dogs.,bicycles
84477,umbrella,A woman walks out of the ocean towards a beach chair and umbrella.,A woman walks out of the ocean towards a beach chair and .,umbrella
84477,chair,A woman walks out of the ocean towards a beach chair and umbrella.,A woman walks out of the ocean towards a beach  and umbrella.,chair
84477,person,A chair and umbrella sitting on a beach near a person.,A chair and umbrella sitting on a beach near a .,person
562243,tie,A man in a purple shirt and matching tie looking pensive.,A man in a purple shirt and matching  looking pensive.,tie
181859,cat,A cute cat laying down in a sink.,A cute  laying down in a sink.,cat
181859,sink,A cute cat laying down in a sink.,A cute cat laying down in a .,sink
177015,cat,A man using his laptop computer while a cat sits on his lap.,A man using his laptop computer while a  sits on his lap.,cat
177015,laptop,A man using his laptop computer while a cat sits on his lap.,A man using his  computer while a cat sits on his lap.,laptop
292236,person,Several people standing at a train station while a train arrives.,Several  standing at a train station while a train arrives.,people
292236,train,A couple of men standing next to train tracks.,A couple of men standing next to  tracks.,train
121506,umbrella,A wooden table with an inverted umbrella on it.,A wooden table with an inverted  on it.,umbrella
288042,umbrella,A man standing on a street with a umbrella.,A man standing on a street with a .,umbrella
500257,person,A person is near a row of luggage carts as one man pushes a cart.,A  is near a row of luggage carts as one man pushes a cart.,person
113403,teddy bear,Three teddy bears laying in bed under the covers.,Three  laying in bed under the covers.,teddy bears
113403,bed,Three teddy bears laying in bed under the covers.,Three teddy bears laying in  under the covers.,bed
125062,teddy bear,A row of white teddy bears on shelf next to DVDs.,A row of white  on shelf next to DVDs.,teddy bears
125062,book,Four teddy bears are lined up in a row on a shelf of books.,Four teddy bears are lined up in a row on a shelf of .,books
375015,bear,A baby brown bear standing on top of a rock.,A baby brown  standing on top of a rock.,bear
334719,frisbee,A family playing a game of frisbee on a wet sandy beach.,A family playing a game of  on a wet sandy beach.,frisbee
134112,dog,A small dog laying on a bed next to a laptop computer.,A small  laying on a bed next to a laptop computer.,dog
134112,bed,A small dog laying on a bed next to a laptop computer.,A small dog laying on a  next to a laptop computer.,bed
134112,laptop,A small dog laying on a bed next to a laptop computer.,A small dog laying on a bed next to a  computer.,laptop
283520,person,Two people standing in front of some trees.,Two  standing in front of some trees.,people
283520,frisbee,A man throwing a frisbee on a course as another looks on.,A man throwing a  on a course as another looks on.,frisbee
31269,zebra,three zebras in a field near bushes ,three  in a field near bushes ,zebras
319721,horse,A brown horse standing next to a woman in front of a house.,A brown  standing next to a woman in front of a house.,horse
319721,person,a person standing next to a horse next to a building,a  standing next to a horse next to a building,person
165351,banana,Sliced bananas sit on top of a pastry dish on a plate.,Sliced  sit on top of a pastry dish on a plate.,bananas
347265,person,A person skiing through a snowy forest with tall trees.,A  skiing through a snowy forest with tall trees.,person
347265,skis,A person in the snow on some skis.,A person in the snow on some .,skis
414170,person,3 people separated by a short distance skiing on a ski slope,3  separated by a short distance skiing on a ski slope,people
414170,skis,3 people separated by a short distance skiing on a ski slope,3 people separated by a short distance ing on a  slope,ski
231508,person,A uniformed baseball player being watched by people.,A uniformed baseball player being watched by .,people
389381,bowl,a bowl of different kinds of food on it,a  of different kinds of food on it,bowl
118921,skis,A woman riding skis down a snow covered slope.,A woman riding  down a snow covered slope.,skis
21503,remote,Crackers with spread on table with remote in background,Crackers with spread on table with  in background,remote
21503,keyboard,There is a plate filled with pastries next to a keyboard.,There is a plate filled with pastries next to a .,keyboard
785,person,a person on skis makes her way through the snow,a  on skis makes her way through the snow,person
785,skis,A woman posing for the camera standing on skis.,A woman posing for the camera standing on .,skis
300842,skateboard,A skateboard that has its wheels on the floor.,A  that has its wheels on the floor.,skateboard
105014,fork,a salad that looks like a boat is next to a fork,a salad that looks like a boat is next to a ,fork
105014,bowl,A bowl full of food sitting on a table next to a fork that rests on top of a circular disk.,A  full of food sitting on a table next to a fork that rests on top of a circular disk.,bowl
105014,carrot,"A salad is in a red container and has lettuce, tomatoes and bits of carrots in it.","A salad is in a red container and has lettuce, tomatoes and bits of  in it.",carrots
261982,person,A person on a skateboard does a flip in a parking lot.,A  on a skateboard does a flip in a parking lot.,person
261982,skateboard,A man flying through the air while riding a skateboard.,A man flying through the air while riding a .,skateboard
34205,broccoli,"Closeup of a plate of food that includes chicken, mushrooms and broccoli.","Closeup of a plate of food that includes chicken, mushrooms and .",broccoli
99242,person,A person skiing in an open area of snow.,A  skiing in an open area of snow.,person
99242,skis,a man wearing ski equipment on a snowy slope ,a man wearing  equipment on a snowy slope ,ski
314709,person,a person riding skis on a snowy slope,a  riding skis on a snowy slope,person
314709,skis,a person riding skis on a snowy slope,a person riding  on a snowy slope,skis
460494,broccoli,"A red plate topped with broccoli, meat and veggies.","A red plate topped with , meat and veggies.",broccoli
460494,carrot,"A red plate holds on it broccoli, carrots, muffins and meat.","A red plate holds on it broccoli, , muffins and meat.",carrots
339442,sandwich,A sandwich and some grapes are sitting on top of a tablecloth.,A  and some grapes are sitting on top of a tablecloth.,sandwich
339442,apple,A sandwich with a pile a olives and an apple on a tablecloth. ,A sandwich with a pile a olives and an  on a tablecloth. ,apple
541055,person,A group of people on the ski slope in their skis. ,A group of  on the ski slope in their skis. ,people
541055,skis,A group of people on the ski slope in their skis. ,A group of people on the  slope in their s. ,ski
409475,person,Two people standing next to each other on a ski slope.,Two  standing next to each other on a ski slope.,people
464786,hot dog,A hot dog and a bun with some mustard.,A  and a bun with some mustard.,hot dog
